# //  Questa Sim-64
# //  Version 2019.2_1 linux_x86_64 May 13 2019
# //
# //  Copyright 1991-2019 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Project file /u/rseth/ece571_hw2_yaalu/hw2_yaalu.mpf was not found.
# Unable to open project.
# Loading project ece571_rwb
# reading /pkgs/mentor/questa/2019.2_1/questasim/linux_x86_64/../modelsim.ini
# Loading project hw3_shiftreg
# Compile of regWithBenefits.sv failed with 1 errors.
# Compile of tb_rwb.sv failed with 2 errors.
# 2 compiles, 2 failed with 3 errors.
# Compile of regWithBenefits.sv was successful.
# Compile of tb_rwb.sv was successful.
# 2 compiles, 0 failed with no errors.
vsim work.test_rwb
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  100	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001100100 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  105	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001101001 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  110	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001101110 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  115	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001110011 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  120	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001111000 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  125	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001111101 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  130	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010000010 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  135	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010000111 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  140	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010001100 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  145	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010010001 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  150	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010010110 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  155	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010011011 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  160	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010100000 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  165	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010100101 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  170	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010101010 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  175	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010101111 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  180	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010110100 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  185	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010111001 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  190	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010111110 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
# Simulation concluded!
#                  195	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011000011 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  200	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011001000 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  205	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011001101 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  210	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011010010 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  215	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011010111 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  220	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011011100 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  225	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011100001 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  230	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011100110 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  235	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011101011 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  240	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011110000 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  245	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011110101 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  250	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011111010 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  255	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000011111111 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  260	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100000100 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  265	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100001001 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  270	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100001110 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  275	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100010011 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  280	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100011000 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  285	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100011101 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  290	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100100010 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  295	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100100111 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  300	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100101100 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  305	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100110001 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  310	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100110110 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  315	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000100111011 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  320	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000101000000 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  325	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000101000101 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  330	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000101001010 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  335	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000101001111 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  340	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000101010100 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  345	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000101011001 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  350	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000101011110 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  355	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000101100011 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  360	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000101101000 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  365	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000101101101 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  370	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000101110010 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  375	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000101110111 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  380	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000101111100 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  385	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000110000001 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  390	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000110000110 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  395	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000110001011 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  400	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000110010000 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  405	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000110010101 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  410	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000110011010 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  415	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000110011111 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  420	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000110100100 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  425	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000110101001 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  430	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000110101110 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  435	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000110110011 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  440	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000110111000 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  445	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000110111101 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  450	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000111000010 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  455	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000111000111 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  460	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000111001100 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  465	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000111010001 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  470	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000111010110 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  475	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000111011011 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  480	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000111100000 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  485	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000111100101 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  490	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000111101010 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  495	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000111101111 - clr 0 - ld 1 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
# Compile of regWithBenefits.sv was successful.
# Compile of tb_rwb.sv failed with 2 errors.
# 2 compiles, 1 failed with 2 errors.
# Compile of regWithBenefits.sv was successful.
# Compile of tb_rwb.sv failed with 2 errors.
# 2 compiles, 1 failed with 2 errors.
# Compile of regWithBenefits.sv was successful.
# Compile of tb_rwb.sv was successful.
# 2 compiles, 0 failed with no errors.
restart -f
# ** Note: (vsim-3813) Design is being optimized due to module recompilation...
# Loading sv_std.std
# Loading work.test_rwb(fast)
run 300
# Simulation starting...
# 
#                    5	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000000101 - clr 1 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
# Walking a 1 across the register.
# 
#                   10	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000001010 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 1b  0
#                   15	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000001111 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   20	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000010100 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   25	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000011001 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   30	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000011110 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   35	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000100011 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   40	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000101000 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   45	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000101101 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   50	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000110010 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   55	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000110111 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   60	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000000111100 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   65	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001000001 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   70	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001000110 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   75	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001001011 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   80	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001010000 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   85	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001010101 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   90	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001011010 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 1 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                   95	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001011111 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  100	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001100100 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  105	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001101001 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  110	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001101110 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  115	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001110011 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  120	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001111000 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  125	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000001111101 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  130	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010000010 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  135	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010000111 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  140	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010001100 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  145	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010010001 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
#                  150	 CONTROL SIGNALS = rst 0000000000000000000000000000000000000000000000000000000010010110 - clr 0 - ld 0 - shl 0
# 	DATA SIGNALS = PARALLEL LOAD: 0 -- SERIAL IN: 00000000 -- DATA OUT: 0b  0
